Index,Port Name,Timestamp,Year,Month,Border,Latitude,Longitude,Value,Temperature,Cloudiness,Humidity,Wind Speed,Weather condition,Himidity
0,Alcan,1514764800,2018,1,US-Canada Border,63.33693,-142.98928,3809,-25.35,100,73,1.59,Clouds,73.0
1,Alcan,1517443200,2018,2,US-Canada Border,63.33693,-142.98928,3759,-28.87,17,84,1.02,Clouds,84.0
2,Alcan,1519862400,2018,3,US-Canada Border,63.33693,-142.98928,5609,-13.19,0,59,3.47,Clear,59.0
3,Alcan,1522540800,2018,4,US-Canada Border,63.33693,-142.98928,8924,0.09,97,49,2.39,Clouds,49.0
4,Alcan,1525132800,2018,5,US-Canada Border,63.33693,-142.98928,21087,9.32,83,45,5,Clouds,45.0
5,Alcan,1527811200,2018,6,US-Canada Border,63.33693,-142.98928,43502,13.63,60,53,0.54,Clouds,53.0
6,Alcan,1530403200,2018,7,US-Canada Border,63.33693,-142.98928,47048,14.44,99,84,3.89,Rain,84.0
7,Alcan,1533081600,2018,8,US-Canada Border,63.33693,-142.98928,34863,27.32,61,34,0.29,Clouds,34.0
8,Alcan,1535760000,2018,9,US-Canada Border,63.33693,-142.98928,15283,11.2,51,58,2.73,Clouds,58.0
9,Alcan,1538352000,2018,10,US-Canada Border,63.33693,-142.98928,6376,10.06,0,40,1.05,Clear,40.0
10,Alcan,1541030400,2018,11,US-Canada Border,63.33693,-142.98928,4555,-8.43,0,80,0.8,Clear,80.0
11,Alcan,1543622400,2018,12,US-Canada Border,63.33693,-142.98928,3935,-12.99,26,90,1.54,Clouds,90.0
12,Alexandria Bay,1514764800,2018,1,US-Canada Border,44.33583,-75.91806,125011,-20.81,1,69,2.56,Clear,69.0
13,Alexandria Bay,1517443200,2018,2,US-Canada Border,44.33583,-75.91806,124559,-4.01,100,69,5.98,Clouds,69.0
14,Alexandria Bay,1519862400,2018,3,US-Canada Border,44.33583,-75.91806,171291,7.93,50,67,4.73,Clouds,67.0
15,Alexandria Bay,1522540800,2018,4,US-Canada Border,44.33583,-75.91806,147362,8.8,100,44,5.14,Clouds,44.0
16,Alexandria Bay,1525132800,2018,5,US-Canada Border,44.33583,-75.91806,181540,9.5,36,76,3.09,Clouds,76.0
17,Alexandria Bay,1527811200,2018,6,US-Canada Border,44.33583,-75.91806,203576,22.38,100,82,2.57,Clouds,82.0
18,Alexandria Bay,1530403200,2018,7,US-Canada Border,44.33583,-75.91806,292136,27.87,7,79,3.84,Clear,79.0
19,Alexandria Bay,1533081600,2018,8,US-Canada Border,44.33583,-75.91806,306614,25.08,99,79,1.76,Clouds,79.0
20,Alexandria Bay,1535760000,2018,9,US-Canada Border,44.33583,-75.91806,196175,21.61,89,80,1.31,Clouds,80.0
21,Alexandria Bay,1538352000,2018,10,US-Canada Border,44.33583,-75.91806,195278,12.28,100,87,1.65,Clouds,87.0
22,Alexandria Bay,1541030400,2018,11,US-Canada Border,44.33583,-75.91806,174362,11.66,100,95,2.79,Clouds,95.0
23,Alexandria Bay,1543622400,2018,12,US-Canada Border,44.33583,-75.91806,157229,1.67,58,86,1.29,Clouds,86.0
24,Algonac,1514764800,2018,1,US-Canada Border,42.33222,-83.04676,89,-12.05,0,48,2.1,Clear,48.0
25,Algonac,1517443200,2018,2,US-Canada Border,42.33222,-83.04676,731,3.2,0,63,6.2,Clear,63.0
26,Algonac,1519862400,2018,3,US-Canada Border,42.33222,-83.04676,3274,6.89,100,66,8.23,Rain,66.0
27,Algonac,1522540800,2018,4,US-Canada Border,42.33222,-83.04676,3365,10.05,100,71,8.23,Clouds,71.0
28,Algonac,1525132800,2018,5,US-Canada Border,42.33222,-83.04676,4406,18.99,0,24,4.63,Clear,24.0
29,Algonac,1527811200,2018,6,US-Canada Border,42.33222,-83.04676,4969,29,75,52,4.63,Clouds,52.0
30,Algonac,1530403200,2018,7,US-Canada Border,42.33222,-83.04676,5275,31.89,0,57,4.63,Clear,57.0
31,Algonac,1533081600,2018,8,US-Canada Border,42.33222,-83.04676,5658,21.1,100,88,2.1,Clouds,88.0
32,Algonac,1535760000,2018,9,US-Canada Border,42.33222,-83.04676,4553,22.15,0,68,4.12,Clear,68.0
33,Algonac,1538352000,2018,10,US-Canada Border,42.33222,-83.04676,4212,12.15,100,87,4.12,Clouds,87.0
34,Algonac,1541030400,2018,11,US-Canada Border,42.33222,-83.04676,4086,8.2,0,91,1.03,Mist,91.0
35,Algonac,1543622400,2018,12,US-Canada Border,42.33222,-83.04676,4408,1.89,100,82,2.1,Mist,82.0
36,Ambrose,1514764800,2018,1,US-Canada Border,48.95389,-103.48222,271,-29.23,0,68,3.6,Clear,68.0
37,Ambrose,1517443200,2018,2,US-Canada Border,48.95389,-103.48222,413,-17.18,0,59,9.8,Clear,59.0
38,Ambrose,1519862400,2018,3,US-Canada Border,48.95389,-103.48222,138,-3.69,0,73,2.6,Clear,73.0
39,Ambrose,1522540800,2018,4,US-Canada Border,48.95389,-103.48222,182,-10.43,0,71,10.8,Clear,71.0
40,Ambrose,1525132800,2018,5,US-Canada Border,48.95389,-103.48222,310,8.3,100,68,5.14,Clouds,68.0
41,Ambrose,1527811200,2018,6,US-Canada Border,48.95389,-103.48222,282,15.67,100,80,4.63,Rain,80.0
42,Ambrose,1530403200,2018,7,US-Canada Border,48.95389,-103.48222,408,21.22,75,56,3.6,Clouds,56.0
43,Ambrose,1533081600,2018,8,US-Canada Border,48.95389,-103.48222,252,22.9,75,53,5.7,Clouds,53.0
44,Ambrose,1535760000,2018,9,US-Canada Border,48.95389,-103.48222,250,21.34,0,29,6.2,Clear,29.0
45,Ambrose,1538352000,2018,10,US-Canada Border,48.95389,-103.48222,317,3.59,100,44,3.6,Clouds,44.0
46,Ambrose,1541030400,2018,11,US-Canada Border,48.95389,-103.48222,158,2.47,0,100,3.6,Clear,100.0
47,Ambrose,1543622400,2018,12,US-Canada Border,48.95389,-103.48222,326,-2.02,100,100,4.63,Fog,100.0
48,Anacortes,1514764800,2018,1,US-Canada Border,48.49988,-122.61739,1617,1.6,0,74,4.1,Clear,74.0
49,Anacortes,1522540800,2018,4,US-Canada Border,48.49988,-122.61739,7996,11.73,0,55,4.12,Clear,55.0
50,Anacortes,1525132800,2018,5,US-Canada Border,48.49988,-122.61739,8680,14.04,75,72,4.12,Clouds,72.0
51,Anacortes,1527811200,2018,6,US-Canada Border,48.49988,-122.61739,11206,17.04,20,55,5.14,Clouds,55.0
52,Anacortes,1530403200,2018,7,US-Canada Border,48.49988,-122.61739,18077,15.07,100,93,2.1,Rain,93.0
53,Anacortes,1533081600,2018,8,US-Canada Border,48.49988,-122.61739,13207,22.04,0,64,5.7,Clear,64.0
54,Anacortes,1535760000,2018,9,US-Canada Border,48.49988,-122.61739,9732,19.06,0,57,6.2,Clear,57.0
55,Anacortes,1538352000,2018,10,US-Canada Border,48.49988,-122.61739,5910,17.07,100,67,5.14,Clouds,67.0
56,Anacortes,1541030400,2018,11,US-Canada Border,48.49988,-122.61739,5910,12.1,100,92,4.12,Rain,92.0
57,Anacortes,1543622400,2018,12,US-Canada Border,48.49988,-122.61739,7640,9.09,100,74,4.12,Clouds,74.0
58,Andrade,1514764800,2018,1,US-Mexico Border,32.7394,-114.63402,267401,22.93,0,18,2.6,Clear,18.0
59,Andrade,1517443200,2018,2,US-Mexico Border,32.7394,-114.63402,259135,28.04,0,9,0,Clear,9.0
60,Andrade,1519862400,2018,3,US-Mexico Border,32.7394,-114.63402,283238,19.11,0,22,3.6,Clear,22.0
61,Andrade,1522540800,2018,4,US-Mexico Border,32.7394,-114.63402,223639,34.32,0,11,5.14,Clear,11.0
62,Andrade,1525132800,2018,5,US-Mexico Border,32.7394,-114.63402,199862,27.01,0,21,4.12,Clear,21.0
63,Andrade,1527811200,2018,6,US-Mexico Border,32.7394,-114.63402,177253,36.93,0,14,4.12,Clear,14.0
64,Andrade,1530403200,2018,7,US-Mexico Border,32.7394,-114.63402,174814,38.6,0,16,1.54,Clear,16.0
65,Andrade,1533081600,2018,8,US-Mexico Border,32.7394,-114.63402,172439,41.1,0,27,7.72,Clear,27.0
66,Andrade,1535760000,2018,9,US-Mexico Border,32.7394,-114.63402,177609,40.85,0,23,3.6,Clear,23.0
